Timestamp,Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Size
09:48:29,192.168.29.27,140.82.114.21,TCP,52793,443,54
09:48:29,192.168.29.27,140.82.114.21,TCP,52793,443,14414
09:48:29,192.168.29.27,32.194.205.84,TCP,53084,443,55
09:48:29,54.152.176.205,192.168.29.27,TCP,443,62903,66
09:48:29,192.168.29.27,23.21.243.187,TCP,61073,443,55
09:48:29,140.82.114.21,192.168.29.27,TCP,443,52793,54
09:48:29,192.168.29.27,140.82.114.21,TCP,52793,443,8670
09:48:29,140.82.114.21,192.168.29.27,TCP,443,52793,54
09:48:29,192.168.29.27,140.82.114.21,TCP,52793,443,11542
09:48:29,140.82.114.21,192.168.29.27,TCP,443,52793,54
09:48:29,140.82.114.21,192.168.29.27,TCP,443,52793,133
09:48:29,192.168.29.27,140.82.114.21,TCP,52793,443,8670
09:48:29,140.82.114.21,192.168.29.27,TCP,443,52793,133
09:48:29,32.194.205.84,192.168.29.27,TCP,443,53084,66
09:48:29,192.168.29.27,140.82.114.21,TCP,52793,443,54
09:48:29,23.21.243.187,192.168.29.27,TCP,443,61073,66
09:48:30,140.82.114.21,192.168.29.27,TCP,443,52793,54
09:48:30,192.168.29.27,140.82.114.21,TCP,52793,443,11542
09:48:30,140.82.114.21,192.168.29.27,TCP,443,52793,54
09:48:30,192.168.29.27,140.82.114.21,TCP,52793,443,5798
09:48:30,140.82.114.21,192.168.29.27,TCP,443,52793,54
09:48:30,192.168.29.27,140.82.114.21,TCP,52793,443,5798
09:48:30,140.82.114.21,192.168.29.27,TCP,443,52793,54
09:48:30,192.168.29.27,140.82.114.21,TCP,52793,443,5798
09:48:30,140.82.114.21,192.168.29.27,TCP,443,52793,54
09:48:30,192.168.29.27,140.82.114.21,TCP,52793,443,8670
09:48:30,140.82.114.21,192.168.29.27,TCP,443,52793,54
09:48:30,192.168.29.27,140.82.114.21,TCP,52793,443,2926
09:48:30,140.82.114.21,192.168.29.27,TCP,443,52793,54
09:48:30,140.82.114.21,192.168.29.27,TCP,443,52793,54
09:48:30,140.82.114.21,192.168.29.27,TCP,443,52793,54
09:48:30,192.168.29.27,140.82.114.21,TCP,52793,443,8679
09:48:30,140.82.114.21,192.168.29.27,TCP,443,52793,54
09:48:30,140.82.114.21,192.168.29.27,TCP,443,52793,54
09:48:30,140.82.114.21,192.168.29.27,TCP,443,52793,54
09:48:30,140.82.114.21,192.168.29.27,TCP,443,52793,54
09:48:30,140.82.114.21,192.168.29.27,TCP,443,52793,54
09:48:30,140.82.114.21,192.168.29.27,TCP,443,52793,54
09:48:30,140.82.114.21,192.168.29.27,TCP,443,52793,54
09:48:30,140.82.114.21,192.168.29.27,TCP,443,52793,54
09:48:30,140.82.114.21,192.168.29.27,TCP,443,52793,54
09:48:30,140.82.114.21,192.168.29.27,TCP,443,52793,54
09:48:30,140.82.114.21,192.168.29.27,TCP,443,52793,54
09:48:30,140.82.114.21,192.168.29.27,TCP,443,52793,56
09:48:30,140.82.114.21,192.168.29.27,TCP,443,52793,56
09:48:30,140.82.114.21,192.168.29.27,TCP,443,52793,56
09:48:30,140.82.114.21,192.168.29.27,TCP,443,52793,56
09:48:30,140.82.114.21,192.168.29.27,TCP,443,52793,56
09:48:30,140.82.114.21,192.168.29.27,TCP,443,52793,56
09:48:30,140.82.114.21,192.168.29.27,TCP,443,52793,56
09:48:30,140.82.114.21,192.168.29.27,TCP,443,52793,56
09:48:30,140.82.114.21,192.168.29.27,TCP,443,52793,56
09:48:30,140.82.114.21,192.168.29.27,TCP,443,52793,56
09:48:30,140.82.114.21,192.168.29.27,TCP,443,52793,56
09:48:31,140.82.114.21,192.168.29.27,TCP,443,52793,645
09:48:31,140.82.114.21,192.168.29.27,TCP,443,52793,78
09:48:31,192.168.29.27,140.82.114.21,TCP,52793,443,54
09:48:31,192.168.29.27,140.82.114.21,TCP,52793,443,78
09:48:31,192.168.29.27,140.82.114.21,TCP,52793,443,54
09:48:31,140.82.114.21,192.168.29.27,TCP,443,52793,54
09:48:31,192.168.29.27,140.82.114.21,TCP,52793,443,54
09:48:31,140.82.114.21,192.168.29.27,TCP,443,52793,54
09:48:31,140.82.114.21,192.168.29.27,TCP,443,52793,54
09:48:31,140.82.114.21,192.168.29.27,TCP,443,52793,54
09:48:32,192.168.29.1,224.0.0.1,OTHER,,,50
09:48:32,192.168.29.27,224.0.0.22,OTHER,,,70
09:48:33,192.168.29.27,140.82.114.21,TCP,49195,443,66
09:48:33,192.168.29.42,192.168.29.255,UDP,57621,57621,82
09:48:33,140.82.114.21,192.168.29.27,TCP,443,49195,66
09:48:33,192.168.29.27,140.82.114.21,TCP,49195,443,54
09:48:33,192.168.29.27,140.82.114.21,TCP,49195,443,571
09:48:33,140.82.114.21,192.168.29.27,TCP,443,49195,1490
09:48:33,140.82.114.21,192.168.29.27,TCP,443,49195,1490
09:48:33,192.168.29.27,140.82.114.21,TCP,49195,443,54
09:48:33,140.82.114.21,192.168.29.27,TCP,443,49195,1278
09:48:33,140.82.114.21,192.168.29.27,TCP,443,49195,1490
09:48:33,140.82.114.21,192.168.29.27,TCP,443,49195,481
09:48:33,192.168.29.27,140.82.114.21,TCP,49195,443,54
09:48:33,192.168.29.27,140.82.114.21,TCP,49195,443,14414
09:48:33,192.168.29.42,224.0.0.251,UDP,5353,5353,103
09:48:33,192.168.29.42,224.0.0.251,UDP,5353,5353,103
09:48:33,192.168.29.42,224.0.0.251,UDP,5353,5353,119
09:48:34,140.82.114.21,192.168.29.27,TCP,443,49195,54
09:48:34,192.168.29.27,140.82.114.21,TCP,49195,443,8670
09:48:34,140.82.114.21,192.168.29.27,TCP,443,49195,133
09:48:34,140.82.114.21,192.168.29.27,TCP,443,49195,54
09:48:34,140.82.114.21,192.168.29.27,TCP,443,49195,133
09:48:34,192.168.29.27,140.82.114.21,TCP,49195,443,3328
09:48:34,140.82.114.21,192.168.29.27,TCP,443,49195,54
09:48:34,140.82.114.21,192.168.29.27,TCP,443,49195,54
09:48:34,192.168.29.42,239.255.255.250,UDP,37570,1900,167
09:48:34,192.168.29.42,224.0.0.251,UDP,5353,5353,87
09:48:34,140.82.114.21,192.168.29.27,TCP,443,49195,54
09:48:34,140.82.114.21,192.168.29.27,TCP,443,49195,54
09:48:34,140.82.114.21,192.168.29.27,TCP,443,49195,54
09:48:34,140.82.114.21,192.168.29.27,TCP,443,49195,54
09:48:34,140.82.114.21,192.168.29.27,TCP,443,49195,54
09:48:34,192.168.29.42,224.0.0.251,UDP,5353,5353,103
09:48:34,192.168.29.42,224.0.0.251,UDP,5353,5353,119
09:48:34,192.168.29.42,224.0.0.251,UDP,5353,5353,119
